0,1,2,3,4,5,6
Model,Accuracy,ROC AUC,Precision Macro,Recall Macro,F1 Macro,MSE
SVM,83.86329542614345,87.26540253373312,86.50138160303375,83.86328585707146,83.56631271236417,0.16136704573856536
Logistic Regression,83.75830292426893,87.28821777236382,86.65323254550576,83.75829335332334,83.43098156237657,0.16241697075731068
Random Forest,85.27072981754561,87.25103123625688,86.925386141013,85.27072588705647,85.10364177116362,0.14729270182454388
Linear Regression,0,86.98507224342723,0,0,0,0.21059953540804632
